usage_id,job_id,asset_id,equipment_type,usage_date,site_name,hours_worked,rain_flag,float_required,operator_name
USE00642,JOB0019,BC001,Bobcat+8T Tipper,2026-01-01,Pakenham,7.0,False,True,Lachlan Martin
USE00635,JOB0019,LD002,Loader 4m,2026-01-01,Pakenham,9.5,False,True,Jack Smith
USE00643,JOB0019,BC001,Bobcat+8T Tipper,2026-01-02,Pakenham,8.0,False,False,Lachlan Martin
USE00636,JOB0019,LD002,Loader 4m,2026-01-02,Pakenham,10.0,True,False,Jack Smith
USE00644,JOB0019,BC001,Bobcat+8T Tipper,2026-01-03,Pakenham,9.5,False,False,Lachlan Martin
USE00637,JOB0019,LD002,Loader 4m,2026-01-03,Pakenham,7.5,False,False,Jack Smith
USE00645,JOB0019,BC001,Bobcat+8T Tipper,2026-01-05,Pakenham,8.5,True,False,Lachlan Martin
USE00638,JOB0019,LD002,Loader 4m,2026-01-05,Pakenham,11.0,False,False,Jack Smith
USE00646,JOB0019,BC001,Bobcat+8T Tipper,2026-01-06,Pakenham,8.5,False,False,Lachlan Martin
USE00639,JOB0019,LD002,Loader 4m,2026-01-06,Pakenham,9.5,False,False,Jack Smith
USE00647,JOB0019,BC001,Bobcat+8T Tipper,2026-01-07,Pakenham,9.5,True,False,Lachlan Martin
USE00640,JOB0019,LD002,Loader 4m,2026-01-07,Pakenham,9.5,False,False,Jack Smith
USE00765,JOB0023,EX001,13T Excavator,2026-01-07,Dandenong,7.5,False,True,Noah Williams
USE00769,JOB0023,EX004,35T Excavator,2026-01-07,Dandenong,9.0,False,True,Thomas Brown
USE00648,JOB0019,BC001,Bobcat+8T Tipper,2026-01-08,Pakenham,10.0,False,False,Lachlan Martin
USE00641,JOB0019,LD002,Loader 4m,2026-01-08,Pakenham,9.0,False,False,Jack Smith
USE00766,JOB0023,EX001,13T Excavator,2026-01-08,Dandenong,9.0,False,False,Noah Williams
USE00770,JOB0023,EX004,35T Excavator,2026-01-08,Dandenong,9.0,False,False,Thomas Brown
USE00767,JOB0023,EX001,13T Excavator,2026-01-09,Dandenong,8.5,False,False,Noah Williams
USE00771,JOB0023,EX004,35T Excavator,2026-01-09,Dandenong,9.0,False,False,Thomas Brown
USE00768,JOB0023,EX001,13T Excavator,2026-01-10,Dandenong,6.5,False,False,Noah Williams
USE00772,JOB0023,EX004,35T Excavator,2026-01-10,Dandenong,8.0,False,False,Thomas Brown
USE00131,JOB0005,BC001,Bobcat+8T Tipper,2026-01-12,Campbellfield,7.5,False,True,Lachlan Martin
USE00109,JOB0005,CP001,Compactor 815F,2026-01-12,Campbellfield,7.5,True,True,Henry Johnson
USE00098,JOB0005,DT001,Dump Truck 30T,2026-01-12,Campbellfield,8.0,False,True,Oliver Taylor
USE00120,JOB0005,EX004,35T Excavator,2026-01-12,Campbellfield,10.5,False,True,Thomas Brown
USE00132,JOB0005,BC001,Bobcat+8T Tipper,2026-01-13,Campbellfield,8.5,False,False,Lachlan Martin
USE00110,JOB0005,CP001,Compactor 815F,2026-01-13,Campbellfield,11.5,True,False,Henry Johnson
USE00099,JOB0005,DT001,Dump Truck 30T,2026-01-13,Campbellfield,9.5,True,False,Oliver Taylor
USE00121,JOB0005,EX004,35T Excavator,2026-01-13,Campbellfield,9.0,False,False,Thomas Brown
USE00992,JOB0030,CP001,Compactor 815F,2026-01-13,Epping,8.5,False,True,Henry Johnson
USE01002,JOB0030,DT001,Dump Truck 30T,2026-01-13,Epping,10.5,True,True,Oliver Taylor
USE01012,JOB0030,EX002,20T Excavator,2026-01-13,Epping,11.0,True,True,Jack Smith
USE00997,JOB0030,EX005,50T Excavator,2026-01-13,Epping,12.0,False,True,Lucas Wilson
USE01007,JOB0030,GR001,Grader 12M,2026-01-13,Epping,10.5,True,True,Thomas Brown
USE00133,JOB0005,BC001,Bobcat+8T Tipper,2026-01-14,Campbellfield,8.5,False,False,Lachlan Martin
USE00111,JOB0005,CP001,Compactor 815F,2026-01-14,Campbellfield,8.0,True,True,Henry Johnson
USE00100,JOB0005,DT001,Dump Truck 30T,2026-01-14,Campbellfield,8.5,False,True,Oliver Taylor
USE00122,JOB0005,EX004,35T Excavator,2026-01-14,Campbellfield,11.0,True,False,Thomas Brown
USE00993,JOB0030,CP001,Compactor 815F,2026-01-14,Epping,7.5,True,True,Henry Johnson
USE01003,JOB0030,DT001,Dump Truck 30T,2026-01-14,Epping,6.0,False,True,Oliver Taylor
USE01013,JOB0030,EX002,20T Excavator,2026-01-14,Epping,10.5,False,False,Jack Smith
USE00998,JOB0030,EX005,50T Excavator,2026-01-14,Epping,11.0,False,False,Lucas Wilson
USE01008,JOB0030,GR001,Grader 12M,2026-01-14,Epping,9.0,False,False,Thomas Brown
USE00134,JOB0005,BC001,Bobcat+8T Tipper,2026-01-15,Campbellfield,9.0,False,False,Lachlan Martin
USE00112,JOB0005,CP001,Compactor 815F,2026-01-15,Campbellfield,10.0,False,True,Henry Johnson
USE00101,JOB0005,DT001,Dump Truck 30T,2026-01-15,Campbellfield,9.5,False,True,Oliver Taylor
USE00123,JOB0005,EX004,35T Excavator,2026-01-15,Campbellfield,9.5,False,False,Thomas Brown
USE00994,JOB0030,CP001,Compactor 815F,2026-01-15,Epping,10.5,False,True,Henry Johnson
USE01004,JOB0030,DT001,Dump Truck 30T,2026-01-15,Epping,7.5,False,True,Oliver Taylor
USE01014,JOB0030,EX002,20T Excavator,2026-01-15,Epping,9.5,False,False,Jack Smith
USE00999,JOB0030,EX005,50T Excavator,2026-01-15,Epping,10.0,False,False,Lucas Wilson
USE01009,JOB0030,GR001,Grader 12M,2026-01-15,Epping,9.0,False,False,Thomas Brown
USE00135,JOB0005,BC001,Bobcat+8T Tipper,2026-01-16,Campbellfield,7.5,False,False,Lachlan Martin
USE00113,JOB0005,CP001,Compactor 815F,2026-01-16,Campbellfield,9.5,False,True,Henry Johnson
USE00102,JOB0005,DT001,Dump Truck 30T,2026-01-16,Campbellfield,11.0,False,True,Oliver Taylor
USE00124,JOB0005,EX004,35T Excavator,2026-01-16,Campbellfield,11.0,True,False,Thomas Brown
